Brand,Model,1-Core Pts,2-Core Pts,4-Core Pts,8-Core Pts,64-Core Pts,Samples,Age (months),Current Price (USD),Seller
AMD,Phenom 9750,41.9,83.7,159,161,163,1800,100,,
AMD,A6-3620 APU,42.8,84.6,156,159,161,2600,96,,
AMD,Athlon II X3 450,56.1,111,158,161,161,4200,101,,
AMD,FX-7600P APU (2014 M.Ka),51.6,94.5,159,160,160,1000,86,,
AMD,A10-5750M APU,53.9,99,166,165,160,3900,99,,
AMD,Athlon II X3 445,54.5,108,154,157,158,3000,100,,
AMD,Phenom 9600,40.3,80.8,152,156,157,685,96,,
AMD,A10-6700T APU (2013 D.Ri),52.5,97.4,156,159,155,80,97,,
AMD,A10-9600P APU (2016 M.BR),49.8,89.7,150,154,155,11000,71,,
AMD,Phenom 9650,40.2,80.1,152,153,155,2600,98,,
AMD,Athlon II X3 440,52,103,146,148,149,1800,98,,
AMD,Phenom 9500,38.5,76.7,146,148,149,1100,100,,
AMD,Phenom 9550,38.1,76.2,144,147,148,2600,100,,
AMD,Athlon II X3 435,50.8,101,144,146,147,1700,100,,
AMD,Phenom II X3 720,50.8,100,143,145,146,2500,101,,
AMD,A10-7400P APU (2014 M.Ka),46.2,84.6,142,141,141,1300,84,,
AMD,Phenom II N950,36,72.3,138,140,141,256,101,,
AMD,A8-3530MX APU,39.9,76.7,135,138,140,429,100,,
AMD,A10-4600M APU,46.9,83.3,139,141,140,5600,100,,
AMD,A8-7200P APU (2014 M.Ka),45.8,82.9,138,138,139,130,75,,
AMD,A8-3510MX APU,38.1,73.5,132,134,136,509,97,,
AMD,Athlon II X3 425,47.3,92.7,133,135,136,1300,100,,
AMD,Phenom II X3 710,46.5,91.8,132,135,136,914,100,,
AMD,A10-5757M APU,48.2,85.4,133,135,135,1200,96,,
AMD,Phenom II N930,33.8,68.3,130,132,134,518,97,,
AMD,A8-5550M APU,45.1,81.5,133,134,134,3400,98,,
AMD,A8-7410 APU (2015 M.Ca),38.1,74.1,128,132,131,28000,80,,
AMD,Opteron 4171 HE,32.7,59.2,101,127,130,16,98,,
AMD,FX-7500 APU (2014 M.Ka),44.4,77,125,128,130,3800,90,,
AMD,Athlon 5350 APU R3,34.1,67.8,126,129,130,3500,95,,
AMD,A8-6410 APU R5 Graphics,36.8,71.4,124,127,127,20000,93,,
AMD,A10-5745M APU,41.9,76.6,126,127,127,6300,98,,
AMD,A6-7310 APU (2015 M.Ca),36.5,71.2,123,125,125,12000,79,,
